season,Team,Goals,GoalsConceded,Points,GoalDifference
season-1718,Man City,106,27,100,79
season-1819,Man City,95,23,98,72
season-1819,Liverpool,89,22,97,67
season-1617,Chelsea,85,33,93,52
season-1112,Man City,93,29,89,64
season-1112,Man United,89,33,89,56
season-1213,Man United,86,43,89,43
season-1415,Chelsea,73,32,87,41
season-0910,Chelsea,103,32,86,71
season-1314,Man City,102,37,86,65
season-1617,Tottenham,86,26,86,60
season-0910,Man United,86,28,85,58
season-1314,Liverpool,101,50,84,51
season-1314,Chelsea,71,27,82,44
season-1718,Man United,68,28,81,40
season-1516,Leicester,68,36,81,32
season-1011,Man United,78,37,80,41
season-1415,Man City,83,38,79,45
season-1314,Arsenal,68,41,79,27
season-1617,Man City,80,39,78,41
season-1213,Man City,66,34,78,32
season-1718,Tottenham,74,36,77,38
season-1617,Liverpool,78,42,76,36
season-1718,Liverpool,84,38,75,46
season-0910,Arsenal,83,41,75,42
season-1213,Chelsea,75,39,75,36
season-1415,Arsenal,71,36,75,35
season-1617,Arsenal,77,44,75,33
season-1213,Arsenal,72,37,73,35
season-1819,Chelsea,63,39,72,24
season-1314,Everton,61,39,72,22
season-1213,Tottenham,66,46,72,20
season-1011,Chelsea,69,33,71,36
season-1516,Arsenal,65,36,71,29
season-1819,Tottenham,67,39,71,28
season-1011,Man City,60,33,71,27
season-1516,Tottenham,69,35,70,34
season-0910,Tottenham,67,41,70,26
season-1112,Arsenal,74,49,70,25
season-1415,Man United,62,37,70,25
season-1718,Chelsea,62,38,70,24
season-1819,Arsenal,73,51,70,22
season-1112,Tottenham,66,41,69,25
season-1617,Man United,54,29,69,25
season-1314,Tottenham,55,51,69,4
season-1011,Arsenal,72,43,68,29
season-0910,Man City,73,45,67,28
season-1516,Man City,71,41,66,30
season-1516,Man United,49,35,66,14
season-1819,Man United,65,54,66,11
season-1112,Newcastle,56,51,65,5
season-1314,Man United,64,43,64,21
season-1112,Chelsea,65,46,64,19
season-0910,Aston Villa,52,39,64,13
season-1415,Tottenham,58,53,64,5
season-0910,Liverpool,61,35,63,26
season-1718,Arsenal,74,51,63,23
season-1516,Southampton,59,41,63,18
season-1213,Everton,55,40,63,15
season-1516,West Ham,65,51,62,14
season-1011,Tottenham,55,46,62,9
season-1415,Liverpool,52,48,62,4
season-1213,Liverpool,71,43,61,28
season-1617,Everton,62,44,61,18
season-0910,Everton,60,49,61,11
season-1415,Southampton,54,33,60,21
season-1516,Liverpool,63,50,60,13
season-1011,Liverpool,59,44,58,15
season-1819,Wolves,47,46,57,1
season-1112,Everton,50,40,56,10
season-1314,Southampton,54,46,56,8
season-1415,Swansea,46,49,56,-3
season-1819,Everton,54,46,54,8
season-1011,Everton,51,45,54,6
season-1415,Stoke,48,45,54,3
season-1718,Burnley,36,39,54,-3
season-1112,Liverpool,47,40,52,7
season-1819,Leicester,51,48,52,3
season-1112,Fulham,48,51,52,-3
season-1819,West Ham,52,55,52,-3
season-1516,Stoke,41,55,51,-14
season-1516,Chelsea,59,53,50,6
season-1314,Stoke,45,52,50,-7
season-1819,Watford,52,59,50,-7
season-0910,Birmingham,38,47,50,-9
season-0910,Blackburn,41,55,50,-14
season-1011,Fulham,49,43,49,6
season-1819,Crystal Palace,51,53,49,-2
season-1213,West Brom,53,57,49,-4
season-1718,Everton,44,58,49,-14
season-1314,Newcastle,43,59,49,-16
season-1415,Crystal Palace,47,51,48,-4
season-1011,Aston Villa,48,59,48,-11
season-1516,Everton,59,55,47,4
season-1415,Everton,48,50,47,-2
season-1415,West Ham,44,47,47,-3
season-1718,Leicester,56,60,47,-4
season-1112,Swansea,44,51,47,-7
season-1112,West Brom,45,52,47,-7
season-1516,Swansea,42,52,47,-10
season-1011,Sunderland,45,56,47,-11
season-0910,Stoke,34,48,47,-14
season-1112,Norwich,52,66,47,-14
season-1011,West Brom,56,71,47,-15
season-1011,Newcastle,56,57,46,-1
season-1011,Stoke,46,48,46,-2
season-1011,Bolton,52,56,46,-4
season-1213,Swansea,47,51,46,-4
season-0910,Fulham,39,46,46,-7
season-1617,Southampton,41,48,46,-7
season-1213,West Ham,45,53,46,-8
season-1617,Bournemouth,55,67,46,-12
season-1112,Sunderland,45,46,45,-1
season-1819,Newcastle,42,48,45,-6
season-1617,West Brom,43,51,45,-8
season-1516,Watford,40,50,45,-10
season-1819,Bournemouth,56,70,45,-14
season-1314,Crystal Palace,33,48,45,-15
season-1112,Stoke,36,53,45,-17
season-1617,West Ham,47,64,45,-17
season-0910,Sunderland,48,56,44,-8
season-1718,Newcastle,39,47,44,-8
season-1718,Crystal Palace,45,55,44,-10
season-1415,West Brom,38,51,44,-13
season-1617,Leicester,48,63,44,-15
season-1617,Stoke,41,56,44,-15
season-1718,Bournemouth,45,61,44,-16
season-1213,Norwich,41,58,44,-17
season-1213,Fulham,50,60,43,-10
season-1011,Blackburn,46,59,43,-13
season-1516,West Brom,34,48,43,-14
season-1112,Wigan,42,62,43,-20
season-1314,Swansea,54,54,42,0
season-1213,Stoke,34,45,42,-11
season-1516,Crystal Palace,39,51,42,-12
season-1718,West Ham,48,68,42,-20
season-1011,Wigan,40,61,42,-21
season-1516,Bournemouth,45,67,42,-22
season-1415,Leicester,46,55,41,-9
season-1213,Southampton,49,60,41,-11
season-1617,Crystal Palace,50,63,41,-13
season-1718,Watford,44,64,41,-20
season-1213,Aston Villa,47,69,41,-22
season-1213,Newcastle,45,68,41,-23
season-1617,Swansea,45,70,41,-25
season-1314,West Ham,40,51,40,-11
season-1617,Burnley,39,55,40,-16
season-1011,Wolves,46,66,40,-20
season-1718,Brighton,34,54,40,-20
season-1819,Burnley,45,68,40,-23
season-1617,Watford,40,68,40,-28
season-1213,Sunderland,41,54,39,-13
season-1516,Sunderland,48,62,39,-14
season-1819,Southampton,45,65,39,-20
season-1011,Birmingham,37,58,39,-21
season-1011,Blackpool,55,78,39,-23
season-1415,Newcastle,40,63,39,-23
season-0910,Bolton,42,67,39,-25
season-1112,Aston Villa,37,53,38,-16
season-1314,Sunderland,41,60,38,-19
season-1314,Aston Villa,39,61,38,-22
season-1415,Sunderland,31,53,38,-22
season-0910,Wolves,32,56,38,-24
season-1415,Aston Villa,31,57,38,-26
season-1314,Hull,38,53,37,-15
season-1516,Newcastle,44,65,37,-21
season-1112,QPR,43,66,37,-23
season-1718,Huddersfield,28,58,37,-30
season-1314,West Brom,43,59,36,-16
season-1718,Southampton,37,56,36,-19
season-1819,Brighton,35,60,36,-25
season-1213,Wigan,47,73,36,-26
season-1112,Bolton,46,77,36,-31
season-0910,Wigan,37,79,36,-42
season-1415,Hull,33,51,35,-18
season-0910,West Ham,47,66,35,-19
season-1516,Norwich,39,67,34,-28
season-1819,Cardiff,34,69,34,-35
season-1617,Hull,37,80,34,-43
season-1415,Burnley,28,53,33,-25
season-1011,West Ham,43,70,33,-27
season-1718,Swansea,28,56,33,-28
season-1718,Stoke,35,68,33,-33
season-1314,Norwich,28,62,33,-34
season-1314,Fulham,40,85,32,-45
season-1718,West Brom,31,56,31,-25
season-1112,Blackburn,48,78,31,-30
season-1415,QPR,42,73,30,-31
season-0910,Burnley,42,82,30,-40
season-0910,Hull,34,75,30,-41
season-1314,Cardiff,32,74,30,-42
season-1617,Middlesbrough,27,53,28,-26
season-1213,Reading,43,73,28,-30
season-0910,Portsmouth,34,66,28,-32
season-1819,Fulham,34,81,26,-47
season-1213,QPR,30,60,25,-30
season-1112,Wolves,40,82,25,-42
season-1617,Sunderland,29,69,24,-40
season-1516,Aston Villa,27,76,17,-49
season-1819,Huddersfield,22,76,16,-54
